algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
kierstead_trotter,adversary,none,strong,0,0,14,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,1,19,4,6,1.500000,4,6,0
kierstead_trotter,adversary,none,strong,0,2,18,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,3,24,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,4,40,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,5,17,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,6,49,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,7,17,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,8,30,4,6,1.500000,4,6,0
kierstead_trotter,adversary,none,strong,0,9,28,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,10,20,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,11,19,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,12,55,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,13,21,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,14,22,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,15,13,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,16,11,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,17,60,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,18,17,4,7,1.750000,4,7,0
kierstead_trotter,adversary,none,strong,0,19,20,4,7,1.750000,4,7,0
