algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,strong,strong,4,0,45,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,1,40,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,2,45,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,3,40,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,4,65,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,5,155,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,6,35,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,7,40,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,8,40,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,9,70,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,10,45,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,11,40,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,12,60,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,13,55,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,14,45,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,15,60,6,7,1.166667,5,7,0
lookahead,adversary,strong,strong,4,16,50,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,17,40,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,18,45,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,4,19,40,6,6,1.000000,5,6,0
