algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,none,strong,4,0,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,1,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,2,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,3,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,4,13,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,5,31,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,6,7,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,7,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,8,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,9,14,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,10,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,11,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,12,12,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,13,11,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,14,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,15,12,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,4,16,10,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,17,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,18,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,4,19,8,5,5,1.000000,5,5,0
