algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,weak,weak,16,0,153,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,1,136,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,2,153,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,3,136,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,4,221,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,5,527,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,6,119,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,7,136,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,8,136,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,9,238,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,10,153,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,11,136,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,12,204,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,13,187,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,14,153,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,15,204,5,7,1.400000,5,7,0
lookahead,adversary,weak,weak,16,16,170,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,17,136,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,18,153,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,16,19,136,5,6,1.200000,5,6,0
