algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
kierstead_trotter,random_uniform,none,strong,0,77,1000,477,620,1.299790,477,620,0
kierstead_trotter,random_uniform,none,strong,0,78,1000,532,648,1.218045,532,648,0
kierstead_trotter,random_uniform,none,strong,0,79,1000,525,664,1.264762,525,664,0
kierstead_trotter,random_uniform,none,strong,0,80,1000,504,640,1.269841,504,640,0
kierstead_trotter,random_uniform,none,strong,0,81,1000,500,630,1.260000,500,630,0
kierstead_trotter,random_uniform,none,strong,0,82,1000,507,637,1.256410,507,637,0
kierstead_trotter,random_uniform,none,strong,0,83,1000,494,616,1.246964,494,616,0
kierstead_trotter,random_uniform,none,strong,0,84,1000,514,660,1.284047,514,660,0
kierstead_trotter,random_uniform,none,strong,0,85,1000,529,658,1.243856,529,658,0
kierstead_trotter,random_uniform,none,strong,0,86,1000,504,638,1.265873,504,638,0
kierstead_trotter,random_uniform,none,strong,0,87,1000,506,644,1.272727,506,644,0
kierstead_trotter,random_uniform,none,strong,0,88,1000,500,641,1.282000,500,641,0
kierstead_trotter,random_uniform,none,strong,0,89,1000,526,653,1.241445,526,653,0
kierstead_trotter,random_uniform,none,strong,0,90,1000,515,644,1.250485,515,644,0
kierstead_trotter,random_uniform,none,strong,0,91,1000,501,624,1.245509,501,624,0
kierstead_trotter,random_uniform,none,strong,0,92,1000,504,639,1.267857,504,639,0
kierstead_trotter,random_uniform,none,strong,0,93,1000,506,635,1.254941,506,635,0
kierstead_trotter,random_uniform,none,strong,0,94,1000,514,653,1.270428,514,653,0
kierstead_trotter,random_uniform,none,strong,0,95,1000,539,653,1.211503,539,653,0
kierstead_trotter,random_uniform,none,strong,0,96,1000,481,609,1.266112,481,609,0
kierstead_trotter,random_uniform,none,strong,0,97,1000,516,650,1.259690,516,650,0
kierstead_trotter,random_uniform,none,strong,0,98,1000,530,663,1.250943,530,663,0
kierstead_trotter,random_uniform,none,strong,0,99,1000,494,617,1.248988,494,617,0
