algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,strong,strong,8,0,81,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,1,72,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,2,81,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,3,72,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,4,117,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,5,279,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,6,63,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,7,72,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,8,72,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,9,126,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,10,81,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,11,72,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,12,108,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,13,99,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,14,81,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,15,108,6,7,1.166667,5,7,0
lookahead,adversary,strong,strong,8,16,90,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,17,72,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,18,81,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,8,19,72,6,6,1.000000,5,6,0
