algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,none,strong,1,0,9,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,1,1,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,2,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,3,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,4,13,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,1,5,31,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,1,6,7,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,7,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,8,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,9,14,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,1,10,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,11,8,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,1,12,12,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,13,11,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,14,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,15,12,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,1,16,10,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,17,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,1,18,9,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,1,19,8,5,6,1.200000,5,6,0
