algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
first_fit,adversary,none,strong,0,0,8,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,1,12,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,2,11,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,3,6,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,4,7,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,5,44,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,6,6,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,7,7,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,8,7,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,9,8,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,10,8,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,11,7,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,12,8,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,13,9,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,14,10,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,15,9,4,6,1.500000,4,6,0
first_fit,adversary,none,strong,0,16,7,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,17,73,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,18,6,4,5,1.250000,4,5,0
first_fit,adversary,none,strong,0,19,7,4,5,1.250000,4,5,0
