algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,none,strong,16,0,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,1,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,2,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,3,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,4,13,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,5,31,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,6,7,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,7,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,8,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,9,14,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,10,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,11,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,12,12,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,13,11,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,14,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,15,12,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,16,10,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,17,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,18,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,16,19,8,5,5,1.000000,5,5,0
