algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,strong,strong,2,0,27,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,1,24,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,2,27,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,3,24,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,4,39,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,5,93,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,2,6,21,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,7,24,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,8,24,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,9,42,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,10,27,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,11,24,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,12,36,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,13,33,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,14,27,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,15,36,6,7,1.166667,5,7,0
lookahead,adversary,strong,strong,2,16,30,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,17,24,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,18,27,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,2,19,24,6,6,1.000000,5,6,0
