algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,weak,weak,4,0,45,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,1,40,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,2,45,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,3,40,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,4,65,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,5,155,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,6,35,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,7,40,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,8,40,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,9,70,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,10,45,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,11,40,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,12,60,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,13,55,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,14,45,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,15,60,5,7,1.400000,5,7,0
lookahead,adversary,weak,weak,4,16,50,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,17,40,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,18,45,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,4,19,40,5,6,1.200000,5,6,0
