algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,none,strong,2,0,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,1,8,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,2,2,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,3,8,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,2,4,13,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,5,31,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,6,7,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,2,7,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,8,8,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,9,14,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,10,9,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,2,11,8,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,2,12,12,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,13,11,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,14,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,15,12,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,16,10,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,17,8,5,6,1.200000,5,6,0
lookahead,adversary,none,strong,2,18,9,5,5,1.000000,5,5,0
lookahead,adversary,none,strong,2,19,8,5,5,1.000000,5,5,0
