algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,weak,weak,1,0,18,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,1,16,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,2,18,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,3,16,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,4,26,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,5,62,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,6,14,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,7,16,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,8,16,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,9,28,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,10,18,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,11,16,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,12,24,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,13,22,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,14,18,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,15,24,5,7,1.400000,5,7,0
lookahead,adversary,weak,weak,1,16,20,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,17,16,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,18,18,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,1,19,16,5,6,1.200000,5,6,0
