algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,strong,strong,32,0,297,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,1,264,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,2,297,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,3,264,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,4,429,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,5,1023,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,6,231,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,7,264,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,8,264,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,9,462,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,10,297,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,11,264,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,12,396,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,13,363,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,14,297,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,15,396,6,7,1.166667,5,7,0
lookahead,adversary,strong,strong,32,16,330,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,17,264,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,18,297,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,32,19,264,6,6,1.000000,5,6,0
