algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,strong,strong,64,0,585,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,1,520,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,2,585,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,3,520,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,4,845,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,5,2015,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,6,455,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,7,520,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,8,520,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,9,910,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,10,585,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,11,520,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,12,780,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,13,715,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,14,585,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,15,780,6,7,1.166667,5,7,0
lookahead,adversary,strong,strong,64,16,650,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,17,520,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,18,585,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,64,19,520,6,6,1.000000,5,6,0
