algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,strong,strong,16,0,153,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,1,136,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,2,153,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,3,136,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,4,221,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,5,527,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,6,119,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,7,136,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,8,136,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,9,238,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,10,153,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,11,136,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,12,204,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,13,187,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,14,153,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,15,204,6,7,1.166667,5,7,0
lookahead,adversary,strong,strong,16,16,170,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,17,136,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,18,153,6,6,1.000000,5,6,0
lookahead,adversary,strong,strong,16,19,136,6,6,1.000000,5,6,0
