algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,weak,weak,32,0,297,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,1,264,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,2,297,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,3,264,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,4,429,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,5,1023,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,6,231,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,7,264,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,8,264,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,9,462,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,10,297,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,11,264,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,12,396,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,13,363,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,14,297,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,15,396,5,7,1.400000,5,7,0
lookahead,adversary,weak,weak,32,16,330,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,17,264,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,18,297,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,32,19,264,5,6,1.200000,5,6,0
