algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
first_fit,adversary,none,strong,0,0,8,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,1,7,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,2,9,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,3,5,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,4,6,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,5,8,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,6,5,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,7,8,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,8,6,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,9,7,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,10,5,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,11,6,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,12,6,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,13,5,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,14,7,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,15,7,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,16,6,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,17,7,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,18,10,3,4,1.333333,3,4,0
first_fit,adversary,none,strong,0,19,6,3,4,1.333333,3,4,0
