algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,strong,strong,0,0,9,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,1,8,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,2,9,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,3,8,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,4,13,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,5,31,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,6,7,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,7,8,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,8,8,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,9,14,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,10,9,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,11,8,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,12,12,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,13,11,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,14,9,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,15,12,5,7,1.400000,5,7,0
lookahead,adversary,strong,strong,0,16,10,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,17,8,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,18,9,5,6,1.200000,5,6,0
lookahead,adversary,strong,strong,0,19,8,5,6,1.200000,5,6,0
