algo,gen,pad,model,k,trial,n,omega,colours_used,ratio,omega_base,colours_original,leaks
lookahead,adversary,weak,weak,8,0,81,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,1,72,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,2,81,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,3,72,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,4,117,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,5,279,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,6,63,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,7,72,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,8,72,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,9,126,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,10,81,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,11,72,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,12,108,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,13,99,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,14,81,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,15,108,5,7,1.400000,5,7,0
lookahead,adversary,weak,weak,8,16,90,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,17,72,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,18,81,5,6,1.200000,5,6,0
lookahead,adversary,weak,weak,8,19,72,5,6,1.200000,5,6,0
